articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
EXT_11-5-2015,0.965,0.965,other,0,MATCH,NA
EXT_11-5-2015,0.94,0.94,other,0,MATCH,NA
EXT_11-5-2015,2.9,2.9,mean,0,MATCH,NA
EXT_11-5-2015,4.99,4.99,mean,0,MATCH,NA
EXT_11-5-2015,3.56,3.56,mean,0,MATCH,NA
EXT_11-5-2015,1.51,1.51,mean,0,MATCH,NA
EXT_11-5-2015,1.5,1.5,sd,0,MATCH,NA
EXT_11-5-2015,1.68,1.68,sd,0,MATCH,NA
EXT_11-5-2015,1.86,1.86,sd,0,MATCH,NA
EXT_11-5-2015,1.29,1.29,sd,0,MATCH,NA
EXT_11-5-2015,4.72,4.7,ci,0.423728813559313,MINOR_ERROR,NA
EXT_11-5-2015,5.27,5.27,ci,0,MATCH,NA
EXT_11-5-2015,2.61,2.63,ci,0.7662835249042153,MINOR_ERROR,NA
EXT_11-5-2015,3.16,3.16,ci,0,MATCH,NA
EXT_11-5-2015,1.25,1.3,ci,4.0000000000000036,MINOR_ERROR,NA
EXT_11-5-2015,1.78,1.73,ci,2.8089887640449462,MINOR_ERROR,NA
EXT_11-5-2015,3.3,3.23,ci,2.1212121212121167,MINOR_ERROR,NA
EXT_11-5-2015,3.85,3.89,ci,1.0389610389610398,MINOR_ERROR,NA
EXT_11-5-2015,1,1,df,0,MATCH,NA
EXT_11-5-2015,263,263,df,0,MATCH,NA
EXT_11-5-2015,111.06,110.47,F,0.5312443724113123,MINOR_ERROR,NA
EXT_11-5-2015,<.001,8.410462074289582e-22,p,NA,MATCH,TRUE
EXT_11-5-2015,0.3,0.3,pes,0,MATCH,NA
EXT_11-5-2015,1,1,df,0,MATCH,NA
EXT_11-5-2015,263,263,df,0,MATCH,NA
EXT_11-5-2015,115.25,114.86,F,0.33839479392624777,MINOR_ERROR,NA
EXT_11-5-2015,<.001,1.7831527029205257e-22,p,NA,MATCH,TRUE
EXT_11-5-2015,0.31,0.3,pes,3.2258064516129057,MINOR_ERROR,NA
